"PTT","date_time","year","date","time","argos_loc_class","lon","lat","dep_year","dep_date","end_date","track_dur","dep_loc","dep_lat","dep_lon","stage","sex","maturity","init_activity","num_locations","movement"
"53348",2010-03-01 12:08:00,2010,2010-03-01,12:08:00,"2",169.064,-68.508,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 12:28:00,2010,2010-03-01,12:28:00,"0",169.052,-68.514,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 13:03:00,2010,2010-03-01,13:03:00,"0",168.955,-68.462,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 13:14:00,2010,2010-03-01,13:14:00,"0",169.036,-68.521,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 13:20:00,2010,2010-03-01,13:20:00,"0",169.009,-68.517,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 13:23:00,2010,2010-03-01,13:23:00,"2",169.035,-68.519,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 13:48:00,2010,2010-03-01,13:48:00,"2",169.011,-68.513,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 14:10:00,2010,2010-03-01,14:10:00,"B",169.034,-68.515,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 14:42:00,2010,2010-03-01,14:42:00,"B",168.982,-68.482,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 14:52:00,2010,2010-03-01,14:52:00,"A",168.966,-68.526,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 14:59:00,2010,2010-03-01,14:59:00,"1",169.025,-68.511,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 15:29:00,2010,2010-03-01,15:29:00,"1",169.033,-68.52,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 13:07:00,2010,2010-03-02,13:07:00,"A",168.709,-68.806,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 13:26:00,2010,2010-03-02,13:26:00,"B",168.428,-68.787,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 14:01:00,2010,2010-03-02,14:01:00,"A",168.646,-68.825,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 14:31:00,2010,2010-03-02,14:31:00,"B",168.575,-68.799,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 14:31:00,2010,2010-03-02,14:31:00,"A",168.693,-68.828,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 14:39:00,2010,2010-03-02,14:39:00,"1",168.644,-68.804,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-02 14:52:00,2010,2010-03-02,14:52:00,"A",168.552,-68.773,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-03 13:49:00,2010,2010-03-03,13:49:00,"3",168.314,-68.919,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-03 14:06:00,2010,2010-03-03,14:06:00,"A",168.334,-68.909,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-03 14:21:00,2010,2010-03-03,14:21:00,"B",168.389,-68.876,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-03 15:45:00,2010,2010-03-03,15:45:00,"0",168.549,-68.961,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-04 01:58:00,2010,2010-03-04,01:58:00,"B",168.198,-68.925,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-04 12:01:00,2010,2010-03-04,12:01:00,"B",168.258,-68.878,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-04 12:15:00,2010,2010-03-04,12:15:00,"B",168.209,-68.821,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-04 12:44:00,2010,2010-03-04,12:44:00,"1",168.171,-68.814,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-04 13:37:00,2010,2010-03-04,13:37:00,"B",168.033,-68.823,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 02:35:00,2010,2010-03-05,02:35:00,"B",168.863,-68.747,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 12:25:00,2010,2010-03-05,12:25:00,"B",168.37,-68.935,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 12:40:00,2010,2010-03-05,12:40:00,"B",168.192,-68.891,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 13:27:00,2010,2010-03-05,13:27:00,"A",168.386,-68.942,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 14:07:00,2010,2010-03-05,14:07:00,"A",168.332,-68.941,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 14:21:00,2010,2010-03-05,14:21:00,"0",168.293,-68.923,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-05 15:35:00,2010,2010-03-05,15:35:00,"A",168.179,-68.904,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 03:17:00,2010,2010-03-06,03:17:00,"2",167.926,-69.059,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 12:30:00,2010,2010-03-06,12:30:00,"0",167.943,-69.142,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 13:21:00,2010,2010-03-06,13:21:00,"B",168.281,-69.214,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 13:44:00,2010,2010-03-06,13:44:00,"A",167.744,-69.165,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 13:45:00,2010,2010-03-06,13:45:00,"A",167.742,-69.167,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 14:11:00,2010,2010-03-06,14:11:00,"1",167.657,-69.175,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 14:47:00,2010,2010-03-06,14:47:00,"B",167.563,-69.172,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 15:01:00,2010,2010-03-06,15:01:00,"A",167.491,-69.159,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-06 15:52:00,2010,2010-03-06,15:52:00,"2",167.302,-69.166,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
